id,name,short_name,category,points,teen_only,adult_only,spinal_pct,collapse_pct,pelvic_pct,legs_pct,potency,hgh_score,beast_bonus,primary_timer_dosage,description,safety_note,instructions_merged,instructions_methods_json,variant_prescriptions,seconds_per_rep
32,Bird-Dog,Bird-Dog,posture,5,False,False,,,,,,,0,2 set(s) × 12 reps per side,Builds the core and spinal stability that keeps your back straight and balanced under daily load.,,"BIRD-DOG — 2 sets × 12 reps each side | Start on your hands and knees in a tabletop position. | Extend your opposite arm and leg straight out, level with your body. | Return with control and alternate for 12 reps each side.","[{""steps"": [""Start on your hands and knees in a tabletop position."", ""Extend your opposite arm and leg straight out, level with your body."", ""Return with control and alternate for 12 reps each side.""], ""title"": ""BIRD-DOG — 2 sets × 12 reps each side""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 12 reps per side ;; Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 12 reps per side,4.5
33,Bodyweight Squats,Bodyweight Squats,hgh,8,True,False,5,5,35,55,7,8,1,2 set(s) × 25 reps,High-rep leg loading triggers a strong growth-hormone response during your growth years.,,"BODYWEIGHT SQUATS — 2 sets × 25 reps | Stand with your feet shoulder-width apart, chest tall. | Lower your hips back and down like sitting into a chair. | Drive back up tall and repeat for 25 reps.","[{""steps"": [""Stand with your feet shoulder-width apart, chest tall."", ""Lower your hips back and down like sitting into a chair."", ""Drive back up tall and repeat for 25 reps.""], ""title"": ""BODYWEIGHT SQUATS — 2 sets × 25 reps""}]",Core 2 - HeightMax HGH|13–20|hgh|core|2 set(s) × 25 reps ;; core 4- HeightMax POSTURE|13–20|pos|core|2 set(s) × 25 reps ;; Core 6- HeightMax Essentials|13–20|pos|core|2 set(s) × 25 reps,3.0
16,Box Jumps / Jump Squats,Box Jumps,hgh,9,True,False,10,5,30,55,7,10,3,2 set(s) × 12 reps,Explosive impact stimulates growth hormone and loads the bones — powerful growth signals while young.,,"BOX JUMPS / JUMP SQUATS — 2 sets × 12 reps | Stand in front of a sturdy box or step. | Bend slightly, then jump explosively onto it. | Step down (don't jump down) and repeat for 12 reps.","[{""steps"": [""Stand in front of a sturdy box or step."", ""Bend slightly, then jump explosively onto it."", ""Step down (don't jump down) and repeat for 12 reps.""], ""title"": ""BOX JUMPS / JUMP SQUATS — 2 sets × 12 reps""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 12 reps,4.0
10,Butterfly Stretch,Butterfly Stretch,posture,5,False,False,50,70,25,5,5,1,0,2 set(s) × 30 seconds (timer),"Opens tight hips and groin so your pelvis can sit in a taller, neutral position.",,BUTTERFLY STRETCH — 2 sets × 30 sec hold | Sit tall with the soles of your feet pressed together. | Hold your feet and gently press your knees toward the floor. | Keep your back straight and hold for the full 30 seconds.,"[{""steps"": [""Sit tall with the soles of your feet pressed together."", ""Hold your feet and gently press your knees toward the floor."", ""Keep your back straight and hold for the full 30 seconds.""], ""title"": ""BUTTERFLY STRETCH — 2 sets × 30 sec hold""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|rec|2 set(s) × 30 seconds (timer),
14,Cat-Cow Stretch,Cat-Cow,posture,6,False,False,60,30,10,0,6,1,1,2 set(s) × 12 reps,"Mobilizes every segment of the spine, restoring the natural curves that keep you upright and tall.",,"CAT-COW STRETCH — 2 sets × 12 reps | Start on your hands and knees in a tabletop position. | Inhale and drop your belly, lifting your chest and tailbone (Cow). | Exhale and round your spine, tucking your chin (Cat) — flow for 12 reps.","[{""steps"": [""Start on your hands and knees in a tabletop position."", ""Inhale and drop your belly, lifting your chest and tailbone (Cow)."", ""Exhale and round your spine, tucking your chin (Cat) — flow for 12 reps.""], ""title"": ""CAT-COW STRETCH — 2 sets × 12 reps""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|50–59|pos|core|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|60+|ess|core|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 12 reps,5.5
17,Child's Pose,Child's Pose,posture,6,False,False,,,,,,,0,2 set(s) × 40 seconds (timer),Gently decompresses the lower spine and releases back tension built up from sitting.,,CHILD'S POSE — 2 sets × 40 sec hold | Kneel and sit back on your heels. | Fold forward and stretch both arms out along the floor. | Relax your back and hold for the full 40 seconds.,"[{""steps"": [""Kneel and sit back on your heels."", ""Fold forward and stretch both arms out along the floor."", ""Relax your back and hold for the full 40 seconds.""], ""title"": ""CHILD'S POSE — 2 sets × 40 sec hold""}]",Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|beast|2 set(s) × 40 seconds (timer),
3,child's Pose with Arm Walks,child's pose,posture,6,False,False,50,35,15,0,6,1,0,2 set(s) × 40 seconds (timer),"Decompresses the lower back and stretches the lats, undoing the compression that rounds your spine.",,"CHILD'S POSE WITH ARM WALKS — 2 sets × 40 sec hold | Kneel and sit back on your heels with both arms stretched forward. | Walk your hands forward to lengthen your spine, then walk them left and right. | Breathe deeply and hold the stretch for the full 40 seconds.","[{""steps"": [""Kneel and sit back on your heels with both arms stretched forward."", ""Walk your hands forward to lengthen your spine, then walk them left and right."", ""Breathe deeply and hold the stretch for the full 40 seconds.""], ""title"": ""CHILD'S POSE WITH ARM WALKS — 2 sets × 40 sec hold""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|rec|2 set(s) × 40 seconds (timer),
12,Chin Tucks,Chin Tucks,posture,5,False,False,65,30,5,0,6,1,0,2 set(s) × 15 reps,"Pulls your head back over the shoulders, reversing the forward-head slump that shortens you.",,CHIN TUCKS — 2 sets × 15 reps | Sit or stand tall with your shoulders relaxed. | Pull your chin straight back to make a 'double chin' and hold 2 seconds. | Release and repeat for 15 consecutive reps.,"[{""steps"": [""Sit or stand tall with your shoulders relaxed."", ""Pull your chin straight back to make a 'double chin' and hold 2 seconds."", ""Release and repeat for 15 consecutive reps.""], ""title"": ""CHIN TUCKS — 2 sets × 15 reps""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 15 reps ;; Core 6- HeightMax Essentials|21–29|pos|core|2 set(s) × 15 reps ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 15 reps ;; Core 6- HeightMax Essentials|60+|ess|rec|2 set(s) × 15 reps ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 15 reps ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 15 reps ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 15 reps,4.0
19,Cobra Stretch,Cobra Stretch,posture,7,False,False,70,25,5,0,8,1,1,2 set(s) × 30 seconds (timer),"Extends your spine the opposite way it slumps all day, restoring its natural upright curve.",,COBRA STRETCH — 2 sets × 30 sec hold | Lie face down with your hands flat under your shoulders. | Press your upper body up while keeping your hips on the floor. | Breathe deeply and hold for the full 30 seconds.,"[{""steps"": [""Lie face down with your hands flat under your shoulders."", ""Press your upper body up while keeping your hips on the floor."", ""Breathe deeply and hold for the full 30 seconds.""], ""title"": ""COBRA STRETCH — 2 sets × 30 sec hold""}]",Core 2 - HeightMax HGH|13–20|hgh|beast|2 set(s) × 30 seconds (timer) ;; core 4- HeightMax POSTURE|13–20|pos|core|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|core|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|core|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|core|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|core|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|core|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|core|2 set(s) × 30 seconds (timer),
1,Decompression Hang,Decompression Hang,posture,9,False,False,80,15,5,0,10,2,3,2 set(s) × 45 seconds (timer),Decompresses the spine and rehydrates the discs that compress all day — the fastest way to reclaim lost height.,"Use only a solid wood or solid-core door. Stop if the door creaks, shifts, or shows any sign of stress.","Method A — Pull-up bar (if you have one): | Grip a pull-up bar shoulder-width apart with palms facing away | Hang fully relaxed and let your spine decompress under your bodyweight | Stay still — don't swing or kick | Method B — Door frame (no equipment needed): | Find the sturdiest door in your home, open it 90° and place a towel over the top edge to protect the door | Place one hand near the top corner closest to the hinges (strongest side), other hand about 14 inches next to it along the top edge | Bend your knees to take all weight off your feet — hang and feel your spine decompress","[{""steps"": [""Grip a pull-up bar shoulder-width apart with palms facing away"", ""Hang fully relaxed and let your spine decompress under your bodyweight"", ""Stay still — don't swing or kick""], ""title"": ""Method A — Pull-up bar (if you have one):""}, {""steps"": [""Find the sturdiest door in your home, open it 90° and place a towel over the top edge to protect the door"", ""Place one hand near the top corner closest to the hinges (strongest side), other hand about 14 inches next to it along the top edge"", ""Bend your knees to take all weight off your feet — hang and feel your spine decompress""], ""title"": ""Method B — Door frame (no equipment needed):""}]",core 4- HeightMax POSTURE|13–20|pos|core|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|core|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|core|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|core|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|core|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|core|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|core|2 set(s) × 45 seconds (timer),
11,Deep Squat Hold,Deep Squat,posture,8,False,False,10,5,40,45,8,4,2,2 set(s) × 45 seconds (timer),"Resets tight hips, ankles, and lower back into full range — the foundation for standing taller.",,DEEP SQUAT HOLD — 2 sets × 45 sec hold | Squat down as low as you can with your feet flat on the floor. | Place your elbows inside your knees and gently push them apart. | Keep your chest tall and hold for the full 45 seconds.,"[{""steps"": [""Squat down as low as you can with your feet flat on the floor."", ""Place your elbows inside your knees and gently push them apart."", ""Keep your chest tall and hold for the full 45 seconds.""], ""title"": ""DEEP SQUAT HOLD — 2 sets × 45 sec hold""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|beast|2 set(s) × 45 seconds (timer),
34,Doorway Chest Stretch,,posture,6,False,False,20,75,5,0,8,1,1,2 set(s) × 30 seconds (timer),"Opens tight chest muscles that pull the shoulders forward, letting them settle back and tall.",,"DOORWAY CHEST STRETCH — 2 sets × 30 sec hold | Stand in a doorway and place your forearms on the frame, elbows at shoulder height. | Step one foot forward and lean gently through the doorway. | Feel the stretch across your chest and hold for the full 30 seconds.","[{""steps"": [""Stand in a doorway and place your forearms on the frame, elbows at shoulder height."", ""Step one foot forward and lean gently through the doorway."", ""Feel the stretch across your chest and hold for the full 30 seconds.""], ""title"": ""DOORWAY CHEST STRETCH — 2 sets × 30 sec hold""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|rec|2 set(s) × 30 seconds (timer),
15,Foam Roller Thoracic Extension,Foam Roller,posture,9,False,False,,,,,,,0,2 set(s) × 12 reps,"Reverses upper-back rounding (kyphosis), unlocking height trapped in a hunched thoracic spine.",,"FOAM ROLLER THORACIC EXTENSION — 2 sets × 12 reps | Lie with a foam roller across your upper back, knees bent. | Support your head with your hands and gently arch back over the roller. | Return to start and repeat for 12 slow, controlled reps.","[{""steps"": [""Lie with a foam roller across your upper back, knees bent."", ""Support your head with your hands and gently arch back over the roller."", ""Return to start and repeat for 12 slow, controlled reps.""], ""title"": ""FOAM ROLLER THORACIC EXTENSION — 2 sets × 12 reps""}]",Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|21–29|pos|beast|2 set(s) × 12 reps,4.2
22,Glute Bridges,Glute Bridges,posture,7,False,False,10,0,70,20,8,3,2,2 set(s) × 20 reps,Activates the glutes to correct pelvic tilt and stabilize the spine into a taller alignment.,,GLUTE BRIDGES — 2 sets × 20 reps | Lie on your back with knees bent and feet flat. | Squeeze your glutes and lift your hips until your body forms a straight line. | Lower slowly with control and repeat for 20 consecutive reps.,"[{""steps"": [""Lie on your back with knees bent and feet flat."", ""Squeeze your glutes and lift your hips until your body forms a straight line."", ""Lower slowly with control and repeat for 20 consecutive reps.""], ""title"": ""GLUTE BRIDGES — 2 sets × 20 reps""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|21–29|pos|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|40–49|ess|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|50–59|pos|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|30–39|pos|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|60+|ess|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 20 reps,4.0
